west,The Metropolis,138588,"9 North Buona Vista Drive
#01-13/14, The Metropolis
Singapore 138588
Tel: 6734 0438","Mon - Fri
Sat
Sun & PH","0700 - 2100 hrs
0700 - 1700 hrs
CLOSED"
west,NTU,639815,"Nanyang Technological University (Student Activities Centre)
NS3-01-07 North Spine
50, Nanyang Avenue
Singapore 639815
Tel: 6794 9265","School Term:
Mon - Fri
Sat
Sun
PH
Vacation Term:
13 May – 30 June
Mon - Sat
Sun & PH","0730 - 2200 hrs
0800 - 1800 hrs
1000 - 1600 hrs
CLOSED
0800 - 1800 hrs
CLOSED"
west,NUS Medical Block (MED 11),117597,"10 Medical Hall #01-40
Yong Loo Lin School of Medicine
Singapore 117597
Tel: 6778 5172","School Term:
Mon - Fri
Sat, Sun & PH
Vacation Term:
19th Dec to 12 Jan
Mon - Fri
Sat, Sun & PH","0730 - 2200 hrs
0800 - 1700 hrs
0730 - 2000 hrs
0800 - 1700 hrs"
west,NUS University Town,138608,"8 College Avenue West
#B1-01 (Education Resource Centre)
Singapore 138608
Tel: 6659 6081","Everyday
Vacation Term:
8 Dec to 12 Jan
Everyday","24 hrs
0800 – 2200 hrs"
west,NUS Yusof Ishak House,119078,"National University of Singapore
31 Lower Kent Ridge Road
Yusof Ishak House
Singapore 119078
Tel: 6872 2144","School Term:
Mon - Fri
Sat & Sun
PH
Vacation Term:
13th May to 4th Aug
Mon - Sun
PH","0800 - 2200 hrs
1000 - 1900 hrs
CLOSED
1000 - 1900 hrs
CLOSED"
west,One@KentRidge,119082,"1 Lower Kent Ridge Road
#03-12 One@Kentridge
Singapore 119082
Tel: 6339 3566","Mon - Fri
Sat & Sun","0730 - 2100 hrs
0800 - 1700 hrs"
west,Singapore Polytechnic,139651,"Singapore Polytechnic
500 Dover Road
Food court 5
Singapore 139651
Tel: 6774 4950","School Term:
Mon - Fri
Sat
Sun
Vacation Term:
Mon - Fri
Sat & Sun","0730 - 2100 hrs
0900 - 1600 hrs
CLOSED
0900 - 1600 hrs
CLOSED"
west,Rochester Park,138640,"37 Rochester Drive
Singapore 138640
Tel: 6684 8538","Sun - Thu & PH
Fri, Sat & Eve of PH
Peak Hours
Mon - Fri
Sat, Sun & PH","0730 - 2300 hrs
730 - 0000 hrs
1130 hrs till closing
All day"
west,West Coast Plaza,127371,"154 West Coast Road
#01-01 West Coast Plaza
Singapore 127371
Tel: 6779 2145","Mon - Sun
Peak Hours
Mon - Thu
Fri - Sun","0800 - 2230 hrs
1400 - 1700 hrs
1400 - 2230 hrs"
west,Westgate,608532,"3 Gateway Drive
02-04/04A
Singapore 608532
Tel: 6465 9275",Mon - Sun,0730 - 2230 hrs
